Generation,Laptime,weight 1,weight 2,weight 3,weight 4,weight 5,weight 6,weight 7,
2,200,-1.8875434,1.4607313,0.6991527,0.33759618,-0.27250934,0.17436862,-0.13251877,0.0
2,202,-1.8875434,0.6808765,0.6991527,1.6907673,-0.27250934,0.7096362,-0.13251877,0.0
2,203,-1.8875434,1.4827299,0.6991527,0.33759618,-1.5316963,0.7096362,-0.13251877,0.0
2,203,-1.8875434,1.4607313,1.2579327,1.5227079,-0.27250934,0.7096362,-0.13251877,0.0
2,206,-1.8875434,0.6808765,0.6991527,0.33759618,-1.1815584,0.7096362,-0.13251877,0.0
2,207,-1.8875434,-1.6312518,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,208,-1.8875434,1.4607313,0.92651916,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
3,197,-1.8875434,1.4607313,0.92651916,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
3,212,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
3,214,-1.8875434,0.6808765,1.593792,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
3,220,-1.8875434,1.4391894,1.593792,0.33759618,-0.18448114,0.9276686,-0.13251877,0.0
3,198,-1.7446446,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
3,198,-1.8875434,0.6808765,0.6991527,0.33759618,0.11296964,0.7096362,-0.13251877,0.0
3,200,-1.7446446,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
3,200,-1.7446446,0.6808765,0.3128357,0.33759618,-0.3889649,-1.417059,-0.13251877,0.0
3,212,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
3,220,-1.7446446,0.6808765,1.593792,-0.4265144,-0.27250934,-0.30826998,-0.13251877,0.0
4,191,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,193,1.7232311,1.2379358,-1.1602743,-1.944185,-1.627675,0.9276686,0.14288473,0.0
4,194,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,195,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,196,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,196,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,197,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,197,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
4,197,1.7232311,1.2379358,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
